name,points,competition,event,distance_or_time
SEBRLE,8217,Decastar,x100m,11.04
SEBRLE,8217,Decastar,long_jump,7.58
SEBRLE,8217,Decastar,shot_put,14.83
SEBRLE,8217,Decastar,high_jump,2.07
SEBRLE,8217,Decastar,x400m,49.81
SEBRLE,8217,Decastar,x110m_hurdle,14.69
SEBRLE,8217,Decastar,discus,43.75
SEBRLE,8217,Decastar,pole_vault,5.02
SEBRLE,8217,Decastar,javelin,63.19
SEBRLE,8217,Decastar,x1500m,291.7
CLAY,8122,Decastar,x100m,10.76
CLAY,8122,Decastar,long_jump,7.4
CLAY,8122,Decastar,shot_put,14.26
CLAY,8122,Decastar,high_jump,1.86
CLAY,8122,Decastar,x400m,49.37
CLAY,8122,Decastar,x110m_hurdle,14.05
CLAY,8122,Decastar,discus,50.72
CLAY,8122,Decastar,pole_vault,4.92
CLAY,8122,Decastar,javelin,60.15
CLAY,8122,Decastar,x1500m,301.5
KARPOV,8099,Decastar,x100m,11.02
KARPOV,8099,Decastar,long_jump,7.3
KARPOV,8099,Decastar,shot_put,14.77
KARPOV,8099,Decastar,high_jump,2.04
KARPOV,8099,Decastar,x400m,48.37
KARPOV,8099,Decastar,x110m_hurdle,14.09
KARPOV,8099,Decastar,discus,48.95
KARPOV,8099,Decastar,pole_vault,4.92
KARPOV,8099,Decastar,javelin,50.31
KARPOV,8099,Decastar,x1500m,300.2
BERNARD,8067,Decastar,x100m,11.02
BERNARD,8067,Decastar,long_jump,7.23
BERNARD,8067,Decastar,shot_put,14.25
BERNARD,8067,Decastar,high_jump,1.92
BERNARD,8067,Decastar,x400m,48.93
BERNARD,8067,Decastar,x110m_hurdle,14.99
BERNARD,8067,Decastar,discus,40.87
BERNARD,8067,Decastar,pole_vault,5.32
BERNARD,8067,Decastar,javelin,62.77
BERNARD,8067,Decastar,x1500m,280.1
YURKOV,8036,Decastar,x100m,11.34
YURKOV,8036,Decastar,long_jump,7.09
YURKOV,8036,Decastar,shot_put,15.19
YURKOV,8036,Decastar,high_jump,2.1
YURKOV,8036,Decastar,x400m,50.42
YURKOV,8036,Decastar,x110m_hurdle,15.31
YURKOV,8036,Decastar,discus,46.26
YURKOV,8036,Decastar,pole_vault,4.72
YURKOV,8036,Decastar,javelin,63.44
YURKOV,8036,Decastar,x1500m,276.4
WARNERS,8030,Decastar,x100m,11.11
WARNERS,8030,Decastar,long_jump,7.6
WARNERS,8030,Decastar,shot_put,14.31
WARNERS,8030,Decastar,high_jump,1.98
WARNERS,8030,Decastar,x400m,48.68
WARNERS,8030,Decastar,x110m_hurdle,14.23
WARNERS,8030,Decastar,discus,41.1
WARNERS,8030,Decastar,pole_vault,4.92
WARNERS,8030,Decastar,javelin,51.77
WARNERS,8030,Decastar,x1500m,278.1
ZSIVOCZKY,8004,Decastar,x100m,11.13
ZSIVOCZKY,8004,Decastar,long_jump,7.3
ZSIVOCZKY,8004,Decastar,shot_put,13.48
ZSIVOCZKY,8004,Decastar,high_jump,2.01
ZSIVOCZKY,8004,Decastar,x400m,48.62
ZSIVOCZKY,8004,Decastar,x110m_hurdle,14.17
ZSIVOCZKY,8004,Decastar,discus,45.67
ZSIVOCZKY,8004,Decastar,pole_vault,4.42
ZSIVOCZKY,8004,Decastar,javelin,55.37
ZSIVOCZKY,8004,Decastar,x1500m,268
MCMULLEN,7995,Decastar,x100m,10.83
MCMULLEN,7995,Decastar,long_jump,7.31
MCMULLEN,7995,Decastar,shot_put,13.76
MCMULLEN,7995,Decastar,high_jump,2.13
MCMULLEN,7995,Decastar,x400m,49.91
MCMULLEN,7995,Decastar,x110m_hurdle,14.38
MCMULLEN,7995,Decastar,discus,44.41
MCMULLEN,7995,Decastar,pole_vault,4.42
MCMULLEN,7995,Decastar,javelin,56.37
MCMULLEN,7995,Decastar,x1500m,285.1
MARTINEAU,7802,Decastar,x100m,11.64
MARTINEAU,7802,Decastar,long_jump,6.81
MARTINEAU,7802,Decastar,shot_put,14.57
MARTINEAU,7802,Decastar,high_jump,1.95
MARTINEAU,7802,Decastar,x400m,50.14
MARTINEAU,7802,Decastar,x110m_hurdle,14.93
MARTINEAU,7802,Decastar,discus,47.6
MARTINEAU,7802,Decastar,pole_vault,4.92
MARTINEAU,7802,Decastar,javelin,52.33
MARTINEAU,7802,Decastar,x1500m,262.1
HERNU,7733,Decastar,x100m,11.37
HERNU,7733,Decastar,long_jump,7.56
HERNU,7733,Decastar,shot_put,14.41
HERNU,7733,Decastar,high_jump,1.86
HERNU,7733,Decastar,x400m,51.1
HERNU,7733,Decastar,x110m_hurdle,15.06
HERNU,7733,Decastar,discus,44.99
HERNU,7733,Decastar,pole_vault,4.82
HERNU,7733,Decastar,javelin,57.19
HERNU,7733,Decastar,x1500m,285.1
BARRAS,7708,Decastar,x100m,11.33
BARRAS,7708,Decastar,long_jump,6.97
BARRAS,7708,Decastar,shot_put,14.09
BARRAS,7708,Decastar,high_jump,1.95
BARRAS,7708,Decastar,x400m,49.48
BARRAS,7708,Decastar,x110m_hurdle,14.48
BARRAS,7708,Decastar,discus,42.1
BARRAS,7708,Decastar,pole_vault,4.72
BARRAS,7708,Decastar,javelin,55.4
BARRAS,7708,Decastar,x1500m,282
NOOL,7651,Decastar,x100m,11.33
NOOL,7651,Decastar,long_jump,7.27
NOOL,7651,Decastar,shot_put,12.68
NOOL,7651,Decastar,high_jump,1.98
NOOL,7651,Decastar,x400m,49.2
NOOL,7651,Decastar,x110m_hurdle,15.29
NOOL,7651,Decastar,discus,37.92
NOOL,7651,Decastar,pole_vault,4.62
NOOL,7651,Decastar,javelin,57.44
NOOL,7651,Decastar,x1500m,266.6
BOURGUIGNON,7313,Decastar,x100m,11.36
BOURGUIGNON,7313,Decastar,long_jump,6.8
BOURGUIGNON,7313,Decastar,shot_put,13.46
BOURGUIGNON,7313,Decastar,high_jump,1.86
BOURGUIGNON,7313,Decastar,x400m,51.16
BOURGUIGNON,7313,Decastar,x110m_hurdle,15.67
BOURGUIGNON,7313,Decastar,discus,40.49
BOURGUIGNON,7313,Decastar,pole_vault,5.02
BOURGUIGNON,7313,Decastar,javelin,54.68
BOURGUIGNON,7313,Decastar,x1500m,291.7
SEBRLE,8893,OlympicG,x100m,10.85
SEBRLE,8893,OlympicG,long_jump,7.84
SEBRLE,8893,OlympicG,shot_put,16.36
SEBRLE,8893,OlympicG,high_jump,2.12
SEBRLE,8893,OlympicG,x400m,48.36
SEBRLE,8893,OlympicG,x110m_hurdle,14.05
SEBRLE,8893,OlympicG,discus,48.72
SEBRLE,8893,OlympicG,pole_vault,5
SEBRLE,8893,OlympicG,javelin,70.52
SEBRLE,8893,OlympicG,x1500m,280.01
CLAY,8820,OlympicG,x100m,10.44
CLAY,8820,OlympicG,long_jump,7.96
CLAY,8820,OlympicG,shot_put,15.23
CLAY,8820,OlympicG,high_jump,2.06
CLAY,8820,OlympicG,x400m,49.19
CLAY,8820,OlympicG,x110m_hurdle,14.13
CLAY,8820,OlympicG,discus,50.11
CLAY,8820,OlympicG,pole_vault,4.9
CLAY,8820,OlympicG,javelin,69.71
CLAY,8820,OlympicG,x1500m,282
KARPOV,8725,OlympicG,x100m,10.5
KARPOV,8725,OlympicG,long_jump,7.81
KARPOV,8725,OlympicG,shot_put,15.93
KARPOV,8725,OlympicG,high_jump,2.09
KARPOV,8725,OlympicG,x400m,46.81
KARPOV,8725,OlympicG,x110m_hurdle,13.97
KARPOV,8725,OlympicG,discus,51.65
KARPOV,8725,OlympicG,pole_vault,4.6
KARPOV,8725,OlympicG,javelin,55.54
KARPOV,8725,OlympicG,x1500m,278.11
MACEY,8414,OlympicG,x100m,10.89
MACEY,8414,OlympicG,long_jump,7.47
MACEY,8414,OlympicG,shot_put,15.73
MACEY,8414,OlympicG,high_jump,2.15
MACEY,8414,OlympicG,x400m,48.97
MACEY,8414,OlympicG,x110m_hurdle,14.56
MACEY,8414,OlympicG,discus,48.34
MACEY,8414,OlympicG,pole_vault,4.4
MACEY,8414,OlympicG,javelin,58.46
MACEY,8414,OlympicG,x1500m,265.42
WARNERS,8343,OlympicG,x100m,10.62
WARNERS,8343,OlympicG,long_jump,7.74
WARNERS,8343,OlympicG,shot_put,14.48
WARNERS,8343,OlympicG,high_jump,1.97
WARNERS,8343,OlympicG,x400m,47.97
WARNERS,8343,OlympicG,x110m_hurdle,14.01
WARNERS,8343,OlympicG,discus,43.73
WARNERS,8343,OlympicG,pole_vault,4.9
WARNERS,8343,OlympicG,javelin,55.39
WARNERS,8343,OlympicG,x1500m,278.05
ZSIVOCZKY,8287,OlympicG,x100m,10.91
ZSIVOCZKY,8287,OlympicG,long_jump,7.14
ZSIVOCZKY,8287,OlympicG,shot_put,15.31
ZSIVOCZKY,8287,OlympicG,high_jump,2.12
ZSIVOCZKY,8287,OlympicG,x400m,49.4
ZSIVOCZKY,8287,OlympicG,x110m_hurdle,14.95
ZSIVOCZKY,8287,OlympicG,discus,45.62
ZSIVOCZKY,8287,OlympicG,pole_vault,4.7
ZSIVOCZKY,8287,OlympicG,javelin,63.45
ZSIVOCZKY,8287,OlympicG,x1500m,269.54
HERNU,8237,OlympicG,x100m,10.97
HERNU,8237,OlympicG,long_jump,7.19
HERNU,8237,OlympicG,shot_put,14.65
HERNU,8237,OlympicG,high_jump,2.03
HERNU,8237,OlympicG,x400m,48.73
HERNU,8237,OlympicG,x110m_hurdle,14.25
HERNU,8237,OlympicG,discus,44.72
HERNU,8237,OlympicG,pole_vault,4.8
HERNU,8237,OlympicG,javelin,57.76
HERNU,8237,OlympicG,x1500m,264.35
NOOL,8235,OlympicG,x100m,10.8
NOOL,8235,OlympicG,long_jump,7.53
NOOL,8235,OlympicG,shot_put,14.26
NOOL,8235,OlympicG,high_jump,1.88
NOOL,8235,OlympicG,x400m,48.81
NOOL,8235,OlympicG,x110m_hurdle,14.8
NOOL,8235,OlympicG,discus,42.05
NOOL,8235,OlympicG,pole_vault,5.4
NOOL,8235,OlympicG,javelin,61.33
NOOL,8235,OlympicG,x1500m,276.33
BERNARD,8225,OlympicG,x100m,10.69
BERNARD,8225,OlympicG,long_jump,7.48
BERNARD,8225,OlympicG,shot_put,14.8
BERNARD,8225,OlympicG,high_jump,2.12
BERNARD,8225,OlympicG,x400m,49.13
BERNARD,8225,OlympicG,x110m_hurdle,14.17
BERNARD,8225,OlympicG,discus,44.75
BERNARD,8225,OlympicG,pole_vault,4.4
BERNARD,8225,OlympicG,javelin,55.27
BERNARD,8225,OlympicG,x1500m,276.31
SCHWARZL,8102,OlympicG,x100m,10.98
SCHWARZL,8102,OlympicG,long_jump,7.49
SCHWARZL,8102,OlympicG,shot_put,14.01
SCHWARZL,8102,OlympicG,high_jump,1.94
SCHWARZL,8102,OlympicG,x400m,49.76
SCHWARZL,8102,OlympicG,x110m_hurdle,14.25
SCHWARZL,8102,OlympicG,discus,42.43
SCHWARZL,8102,OlympicG,pole_vault,5.1
SCHWARZL,8102,OlympicG,javelin,56.32
SCHWARZL,8102,OlympicG,x1500m,273.56
POGORELOV,8084,OlympicG,x100m,10.95
POGORELOV,8084,OlympicG,long_jump,7.31
POGORELOV,8084,OlympicG,shot_put,15.1
POGORELOV,8084,OlympicG,high_jump,2.06
POGORELOV,8084,OlympicG,x400m,50.79
POGORELOV,8084,OlympicG,x110m_hurdle,14.21
POGORELOV,8084,OlympicG,discus,44.6
POGORELOV,8084,OlympicG,pole_vault,5
POGORELOV,8084,OlympicG,javelin,53.45
POGORELOV,8084,OlympicG,x1500m,287.63
SCHOENBECK,8077,OlympicG,x100m,10.9
SCHOENBECK,8077,OlympicG,long_jump,7.3
SCHOENBECK,8077,OlympicG,shot_put,14.77
SCHOENBECK,8077,OlympicG,high_jump,1.88
SCHOENBECK,8077,OlympicG,x400m,50.3
SCHOENBECK,8077,OlympicG,x110m_hurdle,14.34
SCHOENBECK,8077,OlympicG,discus,44.41
SCHOENBECK,8077,OlympicG,pole_vault,5
SCHOENBECK,8077,OlympicG,javelin,60.89
SCHOENBECK,8077,OlympicG,x1500m,278.82
BARRAS,8067,OlympicG,x100m,11.14
BARRAS,8067,OlympicG,long_jump,6.99
BARRAS,8067,OlympicG,shot_put,14.91
BARRAS,8067,OlympicG,high_jump,1.94
BARRAS,8067,OlympicG,x400m,49.41
BARRAS,8067,OlympicG,x110m_hurdle,14.37
BARRAS,8067,OlympicG,discus,44.83
BARRAS,8067,OlympicG,pole_vault,4.6
BARRAS,8067,OlympicG,javelin,64.55
BARRAS,8067,OlympicG,x1500m,267.09
SMITH,8023,OlympicG,x100m,10.85
SMITH,8023,OlympicG,long_jump,6.81
SMITH,8023,OlympicG,shot_put,15.24
SMITH,8023,OlympicG,high_jump,1.91
SMITH,8023,OlympicG,x400m,49.27
SMITH,8023,OlympicG,x110m_hurdle,14.01
SMITH,8023,OlympicG,discus,49.02
SMITH,8023,OlympicG,pole_vault,4.2
SMITH,8023,OlympicG,javelin,61.52
SMITH,8023,OlympicG,x1500m,272.74
AVERYANOV,8021,OlympicG,x100m,10.55
AVERYANOV,8021,OlympicG,long_jump,7.34
AVERYANOV,8021,OlympicG,shot_put,14.44
AVERYANOV,8021,OlympicG,high_jump,1.94
AVERYANOV,8021,OlympicG,x400m,49.72
AVERYANOV,8021,OlympicG,x110m_hurdle,14.39
AVERYANOV,8021,OlympicG,discus,39.88
AVERYANOV,8021,OlympicG,pole_vault,4.8
AVERYANOV,8021,OlympicG,javelin,54.51
AVERYANOV,8021,OlympicG,x1500m,271.02
OJANIEMI,8006,OlympicG,x100m,10.68
OJANIEMI,8006,OlympicG,long_jump,7.5
OJANIEMI,8006,OlympicG,shot_put,14.97
OJANIEMI,8006,OlympicG,high_jump,1.94
OJANIEMI,8006,OlympicG,x400m,49.12
OJANIEMI,8006,OlympicG,x110m_hurdle,15.01
OJANIEMI,8006,OlympicG,discus,40.35
OJANIEMI,8006,OlympicG,pole_vault,4.6
OJANIEMI,8006,OlympicG,javelin,59.26
OJANIEMI,8006,OlympicG,x1500m,275.71
SMIRNOV,7993,OlympicG,x100m,10.89
SMIRNOV,7993,OlympicG,long_jump,7.07
SMIRNOV,7993,OlympicG,shot_put,13.88
SMIRNOV,7993,OlympicG,high_jump,1.94
SMIRNOV,7993,OlympicG,x400m,49.11
SMIRNOV,7993,OlympicG,x110m_hurdle,14.77
SMIRNOV,7993,OlympicG,discus,42.47
SMIRNOV,7993,OlympicG,pole_vault,4.7
SMIRNOV,7993,OlympicG,javelin,60.88
SMIRNOV,7993,OlympicG,x1500m,263.31
QI,7934,OlympicG,x100m,11.06
QI,7934,OlympicG,long_jump,7.34
QI,7934,OlympicG,shot_put,13.55
QI,7934,OlympicG,high_jump,1.97
QI,7934,OlympicG,x400m,49.65
QI,7934,OlympicG,x110m_hurdle,14.78
QI,7934,OlympicG,discus,45.13
QI,7934,OlympicG,pole_vault,4.5
QI,7934,OlympicG,javelin,60.79
QI,7934,OlympicG,x1500m,272.63
DREWS,7926,OlympicG,x100m,10.87
DREWS,7926,OlympicG,long_jump,7.38
DREWS,7926,OlympicG,shot_put,13.07
DREWS,7926,OlympicG,high_jump,1.88
DREWS,7926,OlympicG,x400m,48.51
DREWS,7926,OlympicG,x110m_hurdle,14.01
DREWS,7926,OlympicG,discus,40.11
DREWS,7926,OlympicG,pole_vault,5
DREWS,7926,OlympicG,javelin,51.53
DREWS,7926,OlympicG,x1500m,274.21
PARKHOMENKO,7918,OlympicG,x100m,11.14
PARKHOMENKO,7918,OlympicG,long_jump,6.61
PARKHOMENKO,7918,OlympicG,shot_put,15.69
PARKHOMENKO,7918,OlympicG,high_jump,2.03
PARKHOMENKO,7918,OlympicG,x400m,51.04
PARKHOMENKO,7918,OlympicG,x110m_hurdle,14.88
PARKHOMENKO,7918,OlympicG,discus,41.9
PARKHOMENKO,7918,OlympicG,pole_vault,4.8
PARKHOMENKO,7918,OlympicG,javelin,65.82
PARKHOMENKO,7918,OlympicG,x1500m,277.94
TEREK,7893,OlympicG,x100m,10.92
TEREK,7893,OlympicG,long_jump,6.94
TEREK,7893,OlympicG,shot_put,15.15
TEREK,7893,OlympicG,high_jump,1.94
TEREK,7893,OlympicG,x400m,49.56
TEREK,7893,OlympicG,x110m_hurdle,15.12
TEREK,7893,OlympicG,discus,45.62
TEREK,7893,OlympicG,pole_vault,5.3
TEREK,7893,OlympicG,javelin,50.62
TEREK,7893,OlympicG,x1500m,290.36
GOMEZ,7865,OlympicG,x100m,11.08
GOMEZ,7865,OlympicG,long_jump,7.26
GOMEZ,7865,OlympicG,shot_put,14.57
GOMEZ,7865,OlympicG,high_jump,1.85
GOMEZ,7865,OlympicG,x400m,48.61
GOMEZ,7865,OlympicG,x110m_hurdle,14.41
GOMEZ,7865,OlympicG,discus,40.95
GOMEZ,7865,OlympicG,pole_vault,4.4
GOMEZ,7865,OlympicG,javelin,60.71
GOMEZ,7865,OlympicG,x1500m,269.7
TURI,7708,OlympicG,x100m,11.08
TURI,7708,OlympicG,long_jump,6.91
TURI,7708,OlympicG,shot_put,13.62
TURI,7708,OlympicG,high_jump,2.03
TURI,7708,OlympicG,x400m,51.67
TURI,7708,OlympicG,x110m_hurdle,14.26
TURI,7708,OlympicG,discus,39.83
TURI,7708,OlympicG,pole_vault,4.8
TURI,7708,OlympicG,javelin,59.34
TURI,7708,OlympicG,x1500m,290.01
LORENZO,7592,OlympicG,x100m,11.1
LORENZO,7592,OlympicG,long_jump,7.03
LORENZO,7592,OlympicG,shot_put,13.22
LORENZO,7592,OlympicG,high_jump,1.85
LORENZO,7592,OlympicG,x400m,49.34
LORENZO,7592,OlympicG,x110m_hurdle,15.38
LORENZO,7592,OlympicG,discus,40.22
LORENZO,7592,OlympicG,pole_vault,4.5
LORENZO,7592,OlympicG,javelin,58.36
LORENZO,7592,OlympicG,x1500m,263.08
KARLIVANS,7583,OlympicG,x100m,11.33
KARLIVANS,7583,OlympicG,long_jump,7.26
KARLIVANS,7583,OlympicG,shot_put,13.3
KARLIVANS,7583,OlympicG,high_jump,1.97
KARLIVANS,7583,OlympicG,x400m,50.54
KARLIVANS,7583,OlympicG,x110m_hurdle,14.98
KARLIVANS,7583,OlympicG,discus,43.34
KARLIVANS,7583,OlympicG,pole_vault,4.5
KARLIVANS,7583,OlympicG,javelin,52.92
KARLIVANS,7583,OlympicG,x1500m,278.67
KORKIZOGLOU,7573,OlympicG,x100m,10.86
KORKIZOGLOU,7573,OlympicG,long_jump,7.07
KORKIZOGLOU,7573,OlympicG,shot_put,14.81
KORKIZOGLOU,7573,OlympicG,high_jump,1.94
KORKIZOGLOU,7573,OlympicG,x400m,51.16
KORKIZOGLOU,7573,OlympicG,x110m_hurdle,14.96
KORKIZOGLOU,7573,OlympicG,discus,46.07
KORKIZOGLOU,7573,OlympicG,pole_vault,4.7
KORKIZOGLOU,7573,OlympicG,javelin,53.05
KORKIZOGLOU,7573,OlympicG,x1500m,317
ULDAL,7495,OlympicG,x100m,11.23
ULDAL,7495,OlympicG,long_jump,6.99
ULDAL,7495,OlympicG,shot_put,13.53
ULDAL,7495,OlympicG,high_jump,1.85
ULDAL,7495,OlympicG,x400m,50.95
ULDAL,7495,OlympicG,x110m_hurdle,15.09
ULDAL,7495,OlympicG,discus,43.01
ULDAL,7495,OlympicG,pole_vault,4.5
ULDAL,7495,OlympicG,javelin,60
ULDAL,7495,OlympicG,x1500m,281.7
CASARSA,7404,OlympicG,x100m,11.36
CASARSA,7404,OlympicG,long_jump,6.68
CASARSA,7404,OlympicG,shot_put,14.92
CASARSA,7404,OlympicG,high_jump,1.94
CASARSA,7404,OlympicG,x400m,53.2
CASARSA,7404,OlympicG,x110m_hurdle,15.39
CASARSA,7404,OlympicG,discus,48.66
CASARSA,7404,OlympicG,pole_vault,4.4
CASARSA,7404,OlympicG,javelin,58.62
CASARSA,7404,OlympicG,x1500m,296.12
